,Modelo,Tempo de treino (em horas),SR Peças Brancas Execução 0,SR Peças Brancas Execução 1,SR Peças Brancas Execução 2,SR Peças Brancas Execução 3,SR Peças Brancas Execução 4,SR Peças Brancas Execução 5,SR Peças Brancas Execução 6,SR Peças Brancas Execução 7,SR Peças Brancas Execução 8,SR Peças Brancas Execução 9,SR Peças Pretas Execução 0,SR Peças Pretas Execução 1,SR Peças Pretas Execução 2,SR Peças Pretas Execução 3,SR Peças Pretas Execução 4,SR Peças Pretas Execução 5,SR Peças Pretas Execução 6,SR Peças Pretas Execução 7,SR Peças Pretas Execução 8,SR Peças Pretas Execução 9,Taxa de Empates Execução 0,Taxa de Empates Execução 1,Taxa de Empates Execução 2,Taxa de Empates Execução 3,Taxa de Empates Execução 4,Taxa de Empates Execução 5,Taxa de Empates Execução 6,Taxa de Empates Execução 7,Taxa de Empates Execução 8,Taxa de Empates Execução 9
0,1 sigma x aleatório,3.802739486363199,0.4920000000000004,0.47400000000000037,0.43400000000000033,0.47000000000000036,0.45800000000000035,0.44800000000000034,0.4280000000000003,0.43600000000000033,0.44400000000000034,0.43600000000000033,0.3020000000000002,0.32400000000000023,0.3080000000000002,0.32200000000000023,0.33200000000000024,0.2980000000000002,0.34000000000000025,0.2820000000000002,0.32800000000000024,0.34600000000000025,0.20600000000000016,0.20200000000000015,0.2580000000000002,0.20800000000000016,0.21000000000000016,0.25400000000000017,0.23200000000000018,0.2820000000000002,0.22800000000000017,0.21800000000000017
1,n sigmas x aleatório,3.9800239800744586,0.5440000000000004,0.5140000000000003,0.5900000000000004,0.5540000000000004,0.5340000000000004,0.5600000000000004,0.5760000000000004,0.5620000000000004,0.5940000000000004,0.5460000000000004,0.2980000000000002,0.34400000000000025,0.2720000000000002,0.2960000000000002,0.2920000000000002,0.3160000000000002,0.2780000000000002,0.2840000000000002,0.2660000000000002,0.3080000000000002,0.1580000000000001,0.1420000000000001,0.1380000000000001,0.1500000000000001,0.17400000000000013,0.1240000000000001,0.1460000000000001,0.1540000000000001,0.1400000000000001,0.1460000000000001
2,aleatório x 1 sigma,3.802739486363199,0.2460000000000002,0.2700000000000002,0.2440000000000002,0.2740000000000002,0.23800000000000018,0.21400000000000016,0.22200000000000017,0.25400000000000017,0.25400000000000017,0.22200000000000017,0.5120000000000003,0.5200000000000004,0.5180000000000003,0.47400000000000037,0.5260000000000004,0.5340000000000004,0.5500000000000004,0.5260000000000004,0.46000000000000035,0.5220000000000004,0.2420000000000002,0.21000000000000016,0.23800000000000018,0.25200000000000017,0.23600000000000018,0.25200000000000017,0.22800000000000017,0.22000000000000017,0.2860000000000002,0.25600000000000017
3,aleatório x n sigmas,3.9800239800744586,0.2980000000000002,0.2840000000000002,0.3100000000000002,0.2680000000000002,0.2840000000000002,0.22400000000000017,0.2960000000000002,0.25600000000000017,0.2720000000000002,0.2440000000000002,0.5220000000000004,0.5500000000000004,0.5100000000000003,0.5320000000000004,0.5440000000000004,0.5780000000000004,0.5320000000000004,0.5340000000000004,0.5180000000000003,0.5680000000000004,0.18000000000000013,0.16600000000000012,0.18000000000000013,0.20000000000000015,0.17200000000000013,0.19800000000000015,0.17200000000000013,0.21000000000000016,0.21000000000000016,0.18800000000000014
4,1 sigma x N sigmas,3.802739486363199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,N sigmas x 1 sigma,3.9800239800744586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007
