,Modelo,Tempo de treino (em horas),SR Peças Brancas Execução 0,SR Peças Brancas Execução 1,SR Peças Brancas Execução 2,SR Peças Brancas Execução 3,SR Peças Brancas Execução 4,SR Peças Brancas Execução 5,SR Peças Brancas Execução 6,SR Peças Brancas Execução 7,SR Peças Brancas Execução 8,SR Peças Brancas Execução 9,SR Peças Pretas Execução 0,SR Peças Pretas Execução 1,SR Peças Pretas Execução 2,SR Peças Pretas Execução 3,SR Peças Pretas Execução 4,SR Peças Pretas Execução 5,SR Peças Pretas Execução 6,SR Peças Pretas Execução 7,SR Peças Pretas Execução 8,SR Peças Pretas Execução 9,Taxa de Empates Execução 0,Taxa de Empates Execução 1,Taxa de Empates Execução 2,Taxa de Empates Execução 3,Taxa de Empates Execução 4,Taxa de Empates Execução 5,Taxa de Empates Execução 6,Taxa de Empates Execução 7,Taxa de Empates Execução 8,Taxa de Empates Execução 9
0,1 sigma x aleatório,1.9045645213127136,0.4100000000000003,0.4000000000000003,0.3820000000000003,0.4140000000000003,0.43400000000000033,0.4280000000000003,0.3980000000000003,0.3840000000000003,0.4160000000000003,0.4000000000000003,0.3160000000000002,0.2960000000000002,0.32600000000000023,0.3020000000000002,0.2880000000000002,0.2860000000000002,0.3080000000000002,0.3120000000000002,0.2880000000000002,0.2880000000000002,0.2740000000000002,0.3040000000000002,0.2920000000000002,0.2840000000000002,0.2780000000000002,0.2860000000000002,0.2940000000000002,0.3040000000000002,0.2960000000000002,0.3120000000000002
1,n sigmas x aleatório,1.9552726925081676,0.3880000000000003,0.4020000000000003,0.4040000000000003,0.4060000000000003,0.4200000000000003,0.4180000000000003,0.4120000000000003,0.4160000000000003,0.4300000000000003,0.4080000000000003,0.35200000000000026,0.2940000000000002,0.3100000000000002,0.3020000000000002,0.2980000000000002,0.2920000000000002,0.3100000000000002,0.32400000000000023,0.2780000000000002,0.2740000000000002,0.2600000000000002,0.3040000000000002,0.2860000000000002,0.2920000000000002,0.2820000000000002,0.2900000000000002,0.2780000000000002,0.2600000000000002,0.2920000000000002,0.3180000000000002
2,aleatório x 1 sigma,1.9045645213127136,0.3980000000000003,0.3880000000000003,0.3960000000000003,0.3820000000000003,0.4200000000000003,0.4140000000000003,0.4180000000000003,0.3840000000000003,0.35600000000000026,0.3740000000000003,0.33200000000000024,0.34800000000000025,0.3880000000000003,0.36000000000000026,0.34000000000000025,0.3760000000000003,0.33000000000000024,0.3800000000000003,0.4100000000000003,0.3760000000000003,0.2700000000000002,0.2640000000000002,0.21600000000000016,0.2580000000000002,0.24000000000000019,0.21000000000000016,0.25200000000000017,0.23600000000000018,0.23400000000000018,0.25000000000000017
3,aleatório x n sigmas,1.9552726925081676,0.5580000000000004,0.5620000000000004,0.5280000000000004,0.5540000000000004,0.5320000000000004,0.5280000000000004,0.5520000000000004,0.5660000000000004,0.5260000000000004,0.5140000000000003,0.25200000000000017,0.2460000000000002,0.2640000000000002,0.25600000000000017,0.2960000000000002,0.25400000000000017,0.2840000000000002,0.2600000000000002,0.2720000000000002,0.2760000000000002,0.19000000000000014,0.19200000000000014,0.20800000000000016,0.19000000000000014,0.17200000000000013,0.21800000000000017,0.16400000000000012,0.17400000000000013,0.20200000000000015,0.21000000000000016
4,1 sigma x N sigmas,1.9045645213127136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,N sigmas x 1 sigma,1.9552726925081676,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
