,Modelo,Tempo de treino (em horas),SR Peças Brancas Execução 0,SR Peças Brancas Execução 1,SR Peças Brancas Execução 2,SR Peças Brancas Execução 3,SR Peças Brancas Execução 4,SR Peças Brancas Execução 5,SR Peças Brancas Execução 6,SR Peças Brancas Execução 7,SR Peças Brancas Execução 8,SR Peças Brancas Execução 9,SR Peças Pretas Execução 0,SR Peças Pretas Execução 1,SR Peças Pretas Execução 2,SR Peças Pretas Execução 3,SR Peças Pretas Execução 4,SR Peças Pretas Execução 5,SR Peças Pretas Execução 6,SR Peças Pretas Execução 7,SR Peças Pretas Execução 8,SR Peças Pretas Execução 9,Taxa de Empates Execução 0,Taxa de Empates Execução 1,Taxa de Empates Execução 2,Taxa de Empates Execução 3,Taxa de Empates Execução 4,Taxa de Empates Execução 5,Taxa de Empates Execução 6,Taxa de Empates Execução 7,Taxa de Empates Execução 8,Taxa de Empates Execução 9
0,1 sigma x aleatório,3.802739486363199,0.44200000000000034,0.45400000000000035,0.44400000000000034,0.5140000000000003,0.4960000000000004,0.46400000000000036,0.4840000000000004,0.46400000000000036,0.46000000000000035,0.44400000000000034,0.34800000000000025,0.33000000000000024,0.34400000000000025,0.2700000000000002,0.3120000000000002,0.3100000000000002,0.3040000000000002,0.32000000000000023,0.3180000000000002,0.3080000000000002,0.21000000000000016,0.21600000000000016,0.21200000000000016,0.21600000000000016,0.19200000000000014,0.22600000000000017,0.21200000000000016,0.21600000000000016,0.22200000000000017,0.2480000000000002
1,n sigmas x aleatório,3.9800239800744586,0.5440000000000004,0.5760000000000004,0.5800000000000004,0.5840000000000004,0.5700000000000004,0.5400000000000004,0.5900000000000004,0.5560000000000004,0.6560000000000005,0.5840000000000004,0.2980000000000002,0.2920000000000002,0.2580000000000002,0.2700000000000002,0.2840000000000002,0.32400000000000023,0.2920000000000002,0.3160000000000002,0.21600000000000016,0.2960000000000002,0.1580000000000001,0.1320000000000001,0.16200000000000012,0.1460000000000001,0.1460000000000001,0.1360000000000001,0.11800000000000009,0.12800000000000009,0.12800000000000009,0.12000000000000009
2,aleatório x 1 sigma,3.802739486363199,0.2780000000000002,0.22000000000000017,0.24000000000000019,0.23400000000000018,0.2600000000000002,0.25000000000000017,0.2980000000000002,0.22800000000000017,0.23800000000000018,0.23000000000000018,0.48000000000000037,0.5160000000000003,0.5000000000000003,0.5100000000000003,0.5160000000000003,0.5140000000000003,0.47800000000000037,0.5220000000000004,0.5220000000000004,0.5240000000000004,0.2420000000000002,0.2640000000000002,0.2600000000000002,0.25600000000000017,0.22400000000000017,0.23600000000000018,0.22400000000000017,0.25000000000000017,0.24000000000000019,0.2460000000000002
3,aleatório x n sigmas,3.9800239800744586,0.2600000000000002,0.2440000000000002,0.2860000000000002,0.3000000000000002,0.2680000000000002,0.2580000000000002,0.2660000000000002,0.2600000000000002,0.2480000000000002,0.2620000000000002,0.5320000000000004,0.5300000000000004,0.5100000000000003,0.5220000000000004,0.5340000000000004,0.5240000000000004,0.5600000000000004,0.5720000000000004,0.5580000000000004,0.5560000000000004,0.20800000000000016,0.22600000000000017,0.20400000000000015,0.17800000000000013,0.19800000000000015,0.21800000000000017,0.17400000000000013,0.16800000000000012,0.19400000000000014,0.18200000000000013
4,1 sigma x N sigmas,3.802739486363199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,N sigmas x 1 sigma,3.9800239800744586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007
