,Modelo,Tempo de treino (em horas),SR Peças Brancas Execução 0,SR Peças Brancas Execução 1,SR Peças Brancas Execução 2,SR Peças Brancas Execução 3,SR Peças Brancas Execução 4,SR Peças Brancas Execução 5,SR Peças Brancas Execução 6,SR Peças Brancas Execução 7,SR Peças Brancas Execução 8,SR Peças Brancas Execução 9,SR Peças Pretas Execução 0,SR Peças Pretas Execução 1,SR Peças Pretas Execução 2,SR Peças Pretas Execução 3,SR Peças Pretas Execução 4,SR Peças Pretas Execução 5,SR Peças Pretas Execução 6,SR Peças Pretas Execução 7,SR Peças Pretas Execução 8,SR Peças Pretas Execução 9,Taxa de Empates Execução 0,Taxa de Empates Execução 1,Taxa de Empates Execução 2,Taxa de Empates Execução 3,Taxa de Empates Execução 4,Taxa de Empates Execução 5,Taxa de Empates Execução 6,Taxa de Empates Execução 7,Taxa de Empates Execução 8,Taxa de Empates Execução 9
0,1 sigma x aleatório,1.9045645213127136,0.4180000000000003,0.44400000000000034,0.36600000000000027,0.46400000000000036,0.4260000000000003,0.3720000000000003,0.4100000000000003,0.4280000000000003,0.43400000000000033,0.4300000000000003,0.2760000000000002,0.3000000000000002,0.2920000000000002,0.2740000000000002,0.2740000000000002,0.2980000000000002,0.2800000000000002,0.2880000000000002,0.2700000000000002,0.3040000000000002,0.3060000000000002,0.25600000000000017,0.34200000000000025,0.2620000000000002,0.3000000000000002,0.33000000000000024,0.3100000000000002,0.2840000000000002,0.2960000000000002,0.2660000000000002
1,n sigmas x aleatório,1.9552726925081676,0.4240000000000003,0.4000000000000003,0.4020000000000003,0.45200000000000035,0.4200000000000003,0.4220000000000003,0.4080000000000003,0.4260000000000003,0.46200000000000035,0.35000000000000026,0.2620000000000002,0.3160000000000002,0.33400000000000024,0.3020000000000002,0.3120000000000002,0.3060000000000002,0.33400000000000024,0.32200000000000023,0.2840000000000002,0.32200000000000023,0.3140000000000002,0.2840000000000002,0.2640000000000002,0.2460000000000002,0.2680000000000002,0.2720000000000002,0.2580000000000002,0.25200000000000017,0.25400000000000017,0.32800000000000024
2,aleatório x 1 sigma,1.9045645213127136,0.3780000000000003,0.3840000000000003,0.36000000000000026,0.4060000000000003,0.44600000000000034,0.33800000000000024,0.3920000000000003,0.4040000000000003,0.4080000000000003,0.4020000000000003,0.36600000000000027,0.3720000000000003,0.4100000000000003,0.3700000000000003,0.33400000000000024,0.3940000000000003,0.3800000000000003,0.33600000000000024,0.3720000000000003,0.3740000000000003,0.25600000000000017,0.2440000000000002,0.23000000000000018,0.22400000000000017,0.22000000000000017,0.2680000000000002,0.22800000000000017,0.2600000000000002,0.22000000000000017,0.22400000000000017
3,aleatório x n sigmas,1.9552726925081676,0.5420000000000004,0.5580000000000004,0.4960000000000004,0.5320000000000004,0.5300000000000004,0.5320000000000004,0.5220000000000004,0.5420000000000004,0.5280000000000004,0.5400000000000004,0.2580000000000002,0.2800000000000002,0.2740000000000002,0.2700000000000002,0.25600000000000017,0.2600000000000002,0.2880000000000002,0.3080000000000002,0.2840000000000002,0.2440000000000002,0.20000000000000015,0.16200000000000012,0.23000000000000018,0.19800000000000015,0.21400000000000016,0.20800000000000016,0.19000000000000014,0.1500000000000001,0.18800000000000014,0.21600000000000016
4,1 sigma x N sigmas,1.9045645213127136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,N sigmas x 1 sigma,1.9552726925081676,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
